organizationName,organizationNames,description,location,startsOn,endsOn,categoryNames
Wesley at UCF,[],"<p><span style=""font-weight: 400;"">Join us at 5:30 p.m. for a free dinner! Hang out with friends, play some games, and destress over some warm, free food each Wednesday.</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">Once a month, we will have an event night; past events have included karaoke, vision board crafting, bingo, etc. With these events, you have the opportunity to win gift cards to local restaurants, supporting the Orlando community!</span></p>
<p>&nbsp;</p>
<p><span style=""font-weight: 400;"">We are located by the Barnes &amp; Noble on East Plaza.&nbsp;</span></p>",Wesley Foundation,2025-10-15 21:30:00+00:00,2025-10-15 23:30:00+00:00,[]
Girls Who Code at UCF,[],"<p>💙 <strong data-start=""130"" data-end=""156"">Girls Who Code: GBM #4</strong>&nbsp;💻📘<br data-start=""161"" data-end=""164"" />We&rsquo;re back with our fourth<strong data-start=""184"" data-end=""214"">&nbsp;general body meeting</strong> &mdash; and another amazing <strong data-start=""237"" data-end=""254"" data-is-only-node="""">guest recruiters UKG</strong>! 🎤🔷<br data-start=""260"" data-end=""263"" />Come get inspired, connect with members, and enjoy some fun activities 💬🧠<br data-start=""338"" data-end=""341"" />Whether you're a regular or it's your first time, everyone&rsquo;s welcome 💙<br /><br /></p>
<p class=""p1""><span class=""s1"">The location is CB2 101, follow our Instagram and join our Discord to stay in the loop and get live updates!</span></p>
<p class=""p1""><span class=""s1""><a href=""https://www.instagram.com/girlswhocodeucf/"">Follow our Instagram</a></span></p>
<p class=""p1""><span class=""s1""><a href=""https://discord.gg/NWB3kurgBN"">Join our Discord</a></span></p>",CB2,2025-10-15 22:30:00+00:00,2025-10-15 23:30:00+00:00,[]
Urban Knights Planning Association,[],"<p>Join us for the UCF Urban &amp; Regional Planning Distinguished Lecture Series! 🌆✨<br />We&rsquo;re excited to welcome <a id=""ember1942"" class=""ember-view"" tabindex=""0"" href=""https://www.linkedin.com/in/sandy-hostetter-8abb4711/"">Sandy Hostetter</a>, Vice President of Asset Development at Lift Orlando, for a lecture and panel discussion on the Power of Place.<br />📅 Wednesday, October 15, 2025<br />📍 UCF Downtown &ndash; Dr. Phillips Academic Commons, Room 106<br />⏰ 5:00 p.m. Networking Reception | 6:00&ndash;8:00 p.m. Lecture &amp; Panel<br />Don&rsquo;t miss this opportunity to connect, learn, and explore how place shapes communities.<br />👉 Register to attend here: <a class=""UAKCKeKxHtLtDLUDfPzIUiqGpAjjbLYopI "" tabindex=""0"" href=""https://lnkd.in/etMnVA7G"" target=""_self"" data-test-app-aware-link="""">https://lnkd.in/etMnVA7G</a> <br />Please feel free to contact Dr. Christopher Hawkins with any questions!</p>",DPAC Room 106,2025-10-15 21:00:00+00:00,2025-10-16 00:00:00+00:00,[]
Tower II Apartments,"['Tower II Apartments', 'Housing and Residence Life']","<p><span data-teams=""true"">Get into the Halloween spirit with a classic! We&rsquo;re hosting a cozy watch party for <em>Hocus Pocus</em> complete with candy, drinks, and themed coloring sheets connected to our floor&rsquo;s style. Grab a friend, bring a blanket, and enjoy this spooky throwback favorite!</span></p>",Tower 2 Lobby ,2025-10-15 22:00:00+00:00,2025-10-16 00:00:00+00:00,[]
Hercules Community,"['Hercules Community', 'Housing and Residence Life']",<p>We are going to decorate Halloween items that residents can put in their dorms. The takeaway for students is to engage with others in the community and decorate Halloween-themed door items.</p>,Hercules Program Center,2025-10-15 23:00:00+00:00,2025-10-16 00:00:00+00:00,[]
Pre-Pathology Society ,[],"<p data-start=""181"" data-end=""340"">Join the Pathology Pre-Professional Society as we welcome Dr. Tracy Shipe, a practicing forensic pathologist and proud UCF alumni, to campus!</p>
<p data-start=""342"" data-end=""646"">Dr. Shipe will share her career journey, insights into the field of pathology, and advice for students interested in medicine, research, and beyond. This is a rare opportunity to learn directly from a physician who investigates the science behind unexplained deaths and brings justice through medicine.</p>
<p data-start=""648"" data-end=""777"">📅 Tuesday, October 15, 2025<br data-start=""680"" data-end=""683"" />📍 Student Union, Garden Keys Room 22 (may change depending on attendance)<br data-start=""757"" data-end=""760"" />⏰ 6:30pm-8:15pm</p>
<p data-start=""779"" data-end=""899"">✨ Open to all students, don&rsquo;t miss this chance to hear from an inspiring UCF alum and explore the world of pathology!</p>","Student Union, Garden Key, Room 221",2025-10-15 22:30:00+00:00,2025-10-16 00:15:00+00:00,[]
American Lung Cancer Screening Initiative,[],"<p>Join the American Lung Cancer Screening Initiative (ALCSI) for our second General Body Meeting of the semester!&nbsp;Come learn more about lung cancer prevention and screening, hear about upcoming volunteer and awareness opportunities, and connect with other students passionate about making a difference in our community. Whether you&rsquo;re interested in healthcare, advocacy, or simply want to get more involved on campus, this is the perfect place to start.</p>",UCF Visual Arts Building 109,2025-10-15 23:30:00+00:00,2025-10-16 00:30:00+00:00,[]
UCF Homecoming,[],"<p>Join us for a stand-up comedy show featuring comedian, Karlous Miller. Doors open at 7:00pm, show starts at 8:00pm! All UCF students are free, non-UCF students can purchase $25 tickets here:&nbsp;<a href=""https://www.ticketmaster.com/ucfhc-2025-comedy-knight-orlando-florida-10-15-2025/event/2200630D83DE0DE5"">UCFHC 2025 Comedy Knight Tickets Oct 15, 2025 Orlando, FL | Ticketmaster</a></p>",Addition Financial Arena,2025-10-16 00:00:00+00:00,2025-10-16 01:00:00+00:00,[]
Wesley at UCF,[],"<p>Join us every Thursday from 9:00 a.m. to 1:00 p.m. as we support a local food pantry at Faith United Methodist Church. Whether you can stay for just an hour or the entire time, your help will make a significant difference!</p>",Faith United Methodist Church,2025-10-16 13:00:00+00:00,2025-10-16 17:00:00+00:00,['Community Service']
Wesley at UCF,[],"<p>Spiritual Direction is the ancient practice of sitting with others while deeply listening and paying attention to the wisdom within.</p>
<p>&nbsp;</p>
<p>Led by certified Spiritual Director Barb Shortal, this time will focus on truly listening to your words, feelings, thoughts, and even the silence&mdash;to help you uncover what is already within you. A spiritual director&rsquo;s role is to hold a compassionate, sacred space where you feel safe to explore, ask questions, wonder, and discern. Our time together is precious and always confidential.</p>
<p>&nbsp;</p>
<p>All are welcome, regardless of faith or non-faith background.</p>
<p>&nbsp;</p>
<p><strong data-stringify-type=""bold"">Vision Board Workshop 8/28/25</strong><br />Join us as we create vision boards as a way to visually express your hopes, values, and goals. This creative exercise will help you reflect on where you sense God (or the sacred) is leading you, setting the tone for deeper spiritual direction conversations throughout the semester.</p>",Wesley Foundation,2025-10-16 15:30:00+00:00,2025-10-16 17:00:00+00:00,[]
Downtown Student Life,[],"<p>Spirit Day is a fun and energetic celebration of school pride, unity, and creativity, where students, faculty, and staff come together to show off their enthusiasm through themed outfits, activities, games, and contests. It&rsquo;s a chance to build community, express individuality, and highlight what makes our school unique&mdash;all while having a great time and making lasting memories.</p>",CMB Plaza and Terry Ave,2025-10-16 15:00:00+00:00,2025-10-16 18:00:00+00:00,[]
Phi Eta Sigma National Honor Society ,[],"<p>Join us for a unique opportunity at Knights Pantry🖤💛!<br /><br />Help stock and organize goods for UCF students on campus from October 2 to October 16th‼️. This is a great way to give back to your community while earning volunteer hours👀. Not to mention, you will earn points by participating🌟<br /><br />Make sure to sign up using the above QR Code✅️</p>",Knights Pantry,2025-10-16 13:00:00+00:00,2025-10-16 21:00:00+00:00,[]
GenCLEO@UCF,[],"<section class=""css-1w2p18d ef8693v3"">
<div class=""css-1ewqap6 ef8693v1"">
<div class=""css-xtvjy3"">
<div class=""css-1njhs7w et84t5r0"">
<div id=""collapseEventDetail-description"" class=""css-gygapm ejb1rhe1"">
<div>
<p></p>
<p data-start=""119"" data-end=""163"">🌎 <strong data-start=""122"" data-end=""158"">GenCLEO Action Weekly Phonebanks</strong> 🌎</p>
<p data-start=""165"" data-end=""417"">Join us every Monday and Thursday from 5:00&ndash;6:00 PM for our recurring virtual phonebanks! Together, we&rsquo;ll be reaching out to voters in Districts 1 and 3 to share who GenCLEO Action is endorsing as a Climate Champion in this upcoming election.</p>
<p data-start=""419"" data-end=""570"">This is a great way to earn service hours, build advocacy skills, and take action for the future of our planet&mdash;all from the comfort of your home!</p>
<p data-start=""572"" data-end=""659"">📅 <strong data-start=""575"" data-end=""584"">When:</strong> Every Monday &amp; Thursday, 5:00&ndash;6:00 PM<br data-start=""622"" data-end=""625"" />💻 <strong data-start=""628"" data-end=""638"">Where:</strong> Virtually via Zoom</p>
<p data-start=""661"" data-end=""683"">👉 <strong data-start=""664"" data-end=""681"">Sign up here:</strong></p>
<ul data-start=""684"" data-end=""737"">
<li data-start=""684"" data-end=""709"">
<p data-start=""686"" data-end=""709""><a class=""decorated-link"" rel=""noopener"" data-start=""686"" data-end=""707"">Monday Phonebanks</a></p>
</li>
<li data-start=""710"" data-end=""737"">
<p data-start=""712"" data-end=""737""><a class=""decorated-link"" rel=""noopener"" data-start=""712"" data-end=""735"">Thursday Phonebanks</a></p>
</li>
</ul>
<p data-start=""739"" data-end=""805"">⭐ Earn <strong data-start=""746"" data-end=""764"">1 service hour</strong> for each phonebank session you attend!</p>
<hr data-start=""807"" data-end=""812"" />
<p data-start=""814"" data-end=""846"">📲 <strong data-start=""817"" data-end=""844"">Stay connected with us!</strong></p>
<ul data-start=""847"" data-end=""988"">
<li data-start=""847"" data-end=""922"">
<p data-start=""849"" data-end=""922"">Join our Discord: <a class=""decorated-link"" href=""https://discord.gg/eJraz8rP?event=1420214346604089445"" target=""_new"" rel=""noopener"" data-start=""867"" data-end=""920"">https://discord.gg/eJraz8rP?event=1420214346604089445</a></p>
</li>
<li data-start=""923"" data-end=""988"">
<p data-start=""925"" data-end=""988"">Follow us on Instagram: <a class=""decorated-link"" href=""https://www.instagram.com/gencleo_ucf"" target=""_new"" rel=""noopener"" data-start=""949"" data-end=""986"">https://www.instagram.com/gencleo_ucf</a></p>
</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</section>",Online,2025-10-16 21:00:00+00:00,2025-10-16 22:00:00+00:00,['Community Service']
Tower IV Apartments,"['Tower IV Apartments', 'Housing and Residence Life']","<p>Have students make their own candy apples and decorate them for fall. In the process, students will be able to engage with other residents, enjoy other snacks, or a fall movie.</p>",Tower 4 Lobby,2025-10-16 21:00:00+00:00,2025-10-16 22:00:00+00:00,[]
Amateur Radio Club at UCF,[],"<p>Come on up to ARC's radio shack and talk about ham radio! End time is extremely variable, but there is no requirement for arriving on-time or sticking around for the full length. Typically the earliest we'll leave is 7:00 but we usually run much later. So come swing by, talk about antennas, interesting projects, getting licensed, whatever you're interested in!<br /><br />Location:<br />We're located in the back of the senior design lab, Engineering 1 Room 456a. The door should be propped open but if it isn't please say something on discord.<br /><br />Previous minutes are available here:<br />http://newton.i2lab.ucf.edu/wiki/Category:ARC_minutes_2025<br /><br />Also feel free to chat with us on Discord!<br />https://discord.gg/Ua6CU4Rhtw</p>",Engineering 1 Room 456a,2025-10-16 21:30:00+00:00,2025-10-16 22:30:00+00:00,[]
Rosen Apartments,"['Rosen Apartments', 'Housing and Residence Life']","<p>Join us for a night of free food, games, pumpkin painting, and a costume contest.&nbsp;</p>",Rosen Building 905 Large Community Lounge,2025-10-16 21:00:00+00:00,2025-10-16 23:00:00+00:00,[]
Girls Who Code at UCF,[],"<p>🌐 In this beginner-friendly workshop, you'll learn the basics of Figma. 💙 The focus is on gaining hands on experience with core web technologies. 💻 Perfect for anyone curious about mockups and ready to start their coding journey! 💡</p>
<p class=""p1""><span class=""s1"">The <strong>located in CB2 101</strong></span><span class=""s2"">&nbsp;at <strong>6:30pm</strong></span><span class=""s1"">&nbsp;so follow our Instagram and join our Discord to stay in the loop and get live updates!<br /><br /></span></p>
<p class=""p1""><span class=""s1""><a href=""https://www.instagram.com/girlswhocodeucf/"">Follow our Instagram</a></span></p>
<p class=""p1""><span class=""s1""><a href=""https://discord.gg/NWB3kurgBN"">Join our Discord</a></span></p>",HEALTH SCIENCES I,2025-10-16 22:30:00+00:00,2025-10-16 23:30:00+00:00,[]
Apollo Community,[],"<table width=""925"">
<tbody>
<tr>
<td width=""925"">We will be watching a scary movie to get into the theme of Halloween, while also handing out good molecules skincare products to residents. We will also be bringing some silent games to play while streaming the movie. This will allow us to engage with our residents and get to know them better.</td>
</tr>
</tbody>
</table>",Osceola Lounge ,2025-10-16 22:00:00+00:00,2025-10-17 00:00:00+00:00,[]
 It Takes A Village,[],"<p>Join us to meet our club advisor, DR. Cynthia Contreras, who also serves as&nbsp;the Assistant Director of Academic Advising at Burnett School of Biomedical Sciences!</p>
<p>Later, Dr. Matthew Calwell, UCF College of Medicine graduate and current psychiatry resident at Dartmouth, will join us on Zoom to talk bout his medical school journey.</p>
<div class=""flex max-w-full flex-col flex-grow"">
<div class=""min-h-8 text-message flex w-full flex-col items-end gap-2 whitespace-normal break-words text-start [.text-message+&amp;]:mt-5"" dir=""auto"" data-message-model-slug=""gpt-4o-mini"" data-message-id=""2451cee0-0a70-4c91-8de5-7a6374be6dad"" data-message-author-role=""assistant"">
<div class=""flex w-full flex-col gap-1 empty:hidden first:pt-[3px]"">
<div class=""markdown prose w-full break-words dark:prose-invert dark"">
<p>In this informal meeting, both will discuss his experiences navigating graduate school and excelling in academia, as well as insights on what it takes to succeed in the field. Students are encouraged to ask questions and explore topics such as graduate/medical school interviews, life as a graduate/medical student, and how to thrive in an academic environment. Don&rsquo;t miss this unique opportunity to learn from someone who's been through it all and is dedicated to supporting the next generation of biologists!</p>
</div>
</div>
</div>
</div>
<div class=""mb-2 flex gap-3 empty:hidden -ml-2"">
<div class=""items-center justify-start rounded-xl p-1 flex"">
<div class=""flex items-center"">&nbsp;</div>
</div>
</div>",Health Sciences II Room 345,2025-10-16 22:00:00+00:00,2025-10-17 00:00:00+00:00,[]
Women in Electrical Engineering and Computer Science,[],"<p data-start=""152"" data-end=""183""><strong data-start=""152"" data-end=""181"">🌸 WEECS Picnic Social 🌸</strong></p>
<p data-start=""185"" data-end=""411"">Take a break from classes and join WEECS for a relaxing evening by the <strong data-start=""256"" data-end=""279"">UCF Reflection Pond</strong>! Bring a blanket, your favorite snacks or food, and enjoy good company, chill vibes, and conversations with fellow CECS students.</p>
<p data-start=""413"" data-end=""523""><strong data-start=""413"" data-end=""425"">📅 Date:</strong> Wednesday, October 16th<br data-start=""449"" data-end=""452"" /><strong data-start=""452"" data-end=""464"">🕕 Time:</strong> 6:00 PM &ndash; 8:00 PM<br data-start=""482"" data-end=""485"" /><strong data-start=""485"" data-end=""501"">📍 Location:</strong> UCF Reflection Pond</p>
<p data-start=""525"" data-end=""681"">This is the perfect chance to unwind, meet new people, and soak up some fresh air before the semester gets busy again. We can&rsquo;t wait to see you there! 💜✨</p>",UCF Reflection Pond,2025-10-16 22:00:00+00:00,2025-10-17 00:00:00+00:00,[]
American Society of Civil Engineers at the University of Central Florida,[],"<p data-start=""77"" data-end=""520"">Join us for ASCE&rsquo;s fifth General Body Meeting of the semester featuring AIM!<br data-start=""156"" data-end=""159"" />AIM Engineering &amp; Surveying, Inc. is a multidisciplinary firm providing services in transportation, land development, and structural engineering across Florida. Representatives will share their experiences working on impactful projects, discuss career paths within the company, and provide advice for students pursuing internships and full-time opportunities.</p>
<p data-start=""522"" data-end=""718"">This is a great opportunity to connect with industry professionals, learn more about real-world applications of civil engineering, and build your network.</p>",TBA,2025-10-16 23:00:00+00:00,2025-10-17 00:00:00+00:00,[]
Tower II Apartments,"['Tower II Apartments', 'Housing and Residence Life']","<p><span data-teams=""true"">Celebrate fall with a relaxing evening of creativity! Join us to paint and decorate plastic pumpkins that you can take home to brighten your space. We&rsquo;ll have light refreshments, sweet treats, and a Halloween movie playing in the background, plus plenty of candy to fuel your masterpiece.</span></p>",Tower 2 Lobby ,2025-10-16 23:00:00+00:00,2025-10-17 01:00:00+00:00,[]
Baptist Collegiate Ministries,[],"<p>Come join us for a fun karaoke night!! We will have food, fun, and fellowship! We can't wait to see you there!&nbsp;</p>",HS1 116,2025-10-13 23:00:00+00:00,2025-10-17 02:00:00+00:00,[]
Antioch Orlando College Ministry,[],"<p>Come join our College ministry as we gather to worship, pray, and hear a word from our pastor!</p>
<p>DM our instagram for any questions</p>
<p>@antiochorlandocollege</p>",Pursuit Church,2025-10-16 23:30:00+00:00,2025-10-17 02:00:00+00:00,[]
UCF Homecoming,[],"<p>Join us for a show by JT with special guest Sofaygo! Doors open at 7:00pm and the show starts at 8:00pm. Student tickets are free, non-UCF students can purchase $25 tickets here:&nbsp;<a href=""https://www.ticketmaster.com/ucfhc-2025-concert-knight-orlando-florida-10-16-2025/event/2200630C9DA90E26"">UCFHC 2025 Concert Knight Tickets Oct 16, 2025 Orlando, FL | Ticketmaster</a></p>",Addition Financial Arena,2025-10-17 00:00:00+00:00,2025-10-17 02:00:00+00:00,[]
UCF Homecoming,[],"<p>The nation&rsquo;s biggest homecoming tradition is back! UCF Homecoming presents Spirit Splash. Students will be able to run into the reflecting pond and catch the famous homecoming duck while enjoying special guest speakers, as well as performances from the Cheer Team, Knightmoves, and Marching Knights! This event is free for both the community and UCF students.</p>",UCF Reflecting Pond,2025-10-17 16:00:00+00:00,2025-10-17 18:00:00+00:00,[]
Housing and Residence Life,[],"<p>UCF Student Neighborhood Relations will be hosting a Housing Fair this fall to assist you in your search for off-campus living options near campus. Meet with local properties to learn more about processes involved in securing off-campus housing. Talk to offices such as Financial Aid, UCF PD, and more so that you can start looking ahead to finding your next home!</p>",Student Union Patio,2025-10-17 16:00:00+00:00,2025-10-17 18:00:00+00:00,[]
Tower IV Apartments,"['Tower IV Apartments', 'Housing and Residence Life']",<p>Bonding over a good cheesy snack before the front of midterms.</p>,Tower 4 Lobby,2025-10-17 21:00:00+00:00,2025-10-17 22:00:00+00:00,[]
GenCLEO@UCF,[],"<p>🍕✨Learn about local politics with GenCLEO Action!✨🍕<br /><br />Join GenCLEO Action at LazyMoon Pizza on Friday, October 17th, from 5:00 pm to 6:30 pm to help prepare yourself for the upcoming local elections, and learn a bit about Orlando politics! Find out how your vote can actually make a difference, and get some <span style=""text-decoration: underline;""><em><strong>FREE FOOD</strong></em></span> while you are at it!<br />&nbsp;<br /><br />Join our Discord to keep in touch for future events! <a href=""https://discord.gg/Us8HyFDZg7"">https://discord.gg/Us8HyFDZg7</a></p>
<div class=""_2UyCZQ vkN2Cw Mb8E_A e1_zQg"" lang=""en"">
<p class=""_28USrA GEC0sA XN6uKA"" style=""font-family: 'YAFcfiSm_SA_0', '_fb_', 'auto'; --h97cbq: 33.3333px; color: #f7fbfb; line-height: 46px; letter-spacing: 0em; --gixk-a: 0; text-transform: none; --kj5crq: 0; --zplnxa: none; list-style-type: none;"">&nbsp;</p>
</div>",LazyMoon Pizza,2025-10-17 21:00:00+00:00,2025-10-17 22:00:00+00:00,[]
Amateur Radio Club at UCF,[],"<p>Interested in radio? Interested in antennas? Have too much time on your hands, or can't afford to buy an expensive antenna? Or maybe you just want to stop by and talk about something vaguely radio-related. Well, do we have an event for you!<br /><br />We have a handful of VHF antenna designs to help get you started, several knowledgeable people, and a bunch of supplies. We've also got more larger projects than you can shake an antenna at! From SDRs, to Meshtastic, to Sat-comms, and more, If you have any interest at all in anything to do with radio, we probably have a project relating to it and folks who can help.<br /><br />For an eternally incomplete list of projects, see the front page of our wiki:<br />http://newton.i2lab.ucf.edu/wiki/ARCatUCF<br />Don't know what half of that stuff is? We're more than happy to teach you all we can about it!<br /><br />https://discord.gg/bGkTTTrNdP<br />(If there's a particular project you want to do, make sure to let us know prior at any of our meetings or on discord.)</p>",BA1 115,2025-10-17 21:30:00+00:00,2025-10-17 22:30:00+00:00,[]
Veterans Medical Outreach,[],"<p>&nbsp;</p>
<p data-start=""281"" data-end=""300"">Hello VMO Family,</p>
<p data-start=""302"" data-end=""463"">Get ready for a cozy night of fellowship and fun! 🎥✨ You&rsquo;re invited to <strong>VMO Movie Night</strong> where we&rsquo;ll gather together for snacks, laughter, and a great film.</p>
<p data-start=""465"" data-end=""558"">📍 <strong data-start=""468"" data-end=""481"">Location:</strong>&nbsp;To be Announced on Instagram: @VMO.UCF<br data-start=""499"" data-end=""502"" />🗓 <strong data-start=""505"" data-end=""514"">Date:</strong>&nbsp;10/10/25<br data-start=""528"" data-end=""531"" />⏰ <strong data-start=""533"" data-end=""542"">Time:</strong> 5:30pm&nbsp;</p>
<p data-start=""560"" data-end=""659"">Bring your friends, grab some popcorn, and relax with us as we enjoy a movie and good company. 🍿</p>
<p data-start=""661"" data-end=""694"">We can&rsquo;t wait to see you there!</p>
<p data-start=""696"" data-end=""712"">&mdash; The VMO Team</p>",John C Hitt Library ,2025-10-17 21:30:00+00:00,2025-10-17 22:30:00+00:00,[]
UCF Homecoming,[],"<p>Join Knight Nation to celebrate on the eve of the big game at this family-friendly UCF festival. Join us for live music, food, beverages, carnival games and special appearances. Plus, cap off the evening with a one-of-a-kind firework spectacular!</p>",Memory Mall,2025-10-17 22:00:00+00:00,2025-10-18 00:30:00+00:00,[]
Neptune Community,[],<p>Trick-or-Trivia play to win treats &amp; prizes</p>,"Neptune MPR, Building 158",2025-10-17 23:00:00+00:00,2025-10-18 01:00:00+00:00,[]
Baptist Collegiate Ministries,[],<p>Come join us for a fun time of volleyball! We can't wait to see you there!</p>,Lake Claire Recreational Area,2025-10-17 23:00:00+00:00,2025-10-18 02:00:00+00:00,[]
Wesley at UCF,[],"<p>Join us at Faith United Methodist Church every Sunday for worship starting at 10:00 a.m.&nbsp;</p>
<p>&nbsp;</p>
<p>Faith UMC shares our mission to alleviate poverty, and we are so excited to partner with their community. Rev. Erwin Lopez will serve as pastor and preach every Sunday.&nbsp;</p>
<p>&nbsp;</p>
<p>A bus will leave from the Wesley Foundation on UCF Campus at 9:15 a.m. to transport those needed to Faith UMC. Immediately following the service, a free brunch will be provided! Hope to see you there!</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",Faith United Methodist Church,2025-10-19 14:00:00+00:00,2025-10-19 15:00:00+00:00,[]
Volunteer UCF,[],"<div>
<div class=""DescriptionText"">
<div class=""DescriptionText"">
<p>Join Volunteer UCF and Orlando Family Stage as we help with one of their upcoming productions! This Halloween, step into the eerie, over-the-top world of&nbsp;<strong><em>Goosebumps</em></strong>&nbsp;with a musical mystery that is just the right amount of spooky! The musical is based on R. L. Stine's&nbsp;<em>Goosebumps: Phantom of the Auditorium.</em>&nbsp;During this event, volunteers will fill one of multiple roles:</p>
<ul class=""MuiList-root MuiList-padding"">
<li class=""MuiListItem-root MuiListItem-gutters"">
<div class=""MuiListItemText-root MuiListItemText-multiline"">Ushers will assist patrons to their seats, provide the patrons with programs, and assist with any mobility devices (wheelchairs, walkers, ECVs).</div>
</li>
<li class=""MuiListItem-root MuiListItem-gutters"">Ticket Scanners use a mobile phone to scan all tickets - physical or e-Tickets - and direct purchasing questions to the Box Office team.</li>
<li class=""MuiListItem-root MuiListItem-gutters"">Greeters stand at the front of the lobby and welcome patrons to the theater, direct will call patrons to the Box Office, and assist with wayfinding in the event that there are multiple events happening at the same time.</li>
</ul>
<p><strong>Volunteers will also be able to watch the show for free, given there are available seats!</strong></p>
<p>-&nbsp;<strong>Date</strong>: Sunday, October 19th, 2025</p>
<p>-&nbsp;<strong>Time</strong>: 12:00 PM to 3:00 PM</p>
<p>-&nbsp;<strong>Location</strong>:1001 E Princeton St, Orlando, FL 32803</p>
<p>-&nbsp;<strong>Parking</strong>: There is a parking lot located between Orlando Shakes and Orlando Family Stage, where volunteers will be able to park</p>
<p>-&nbsp;<strong>Dress Code</strong>:&nbsp;<span data-olk-copy-source=""MessageBody"">Plain white shirt or blouse (no t-shirts, no large logos), black pants or skirt, black socks or hosiery, black closed-toed shoes</span></p>
<p>*Important Note: There is limited availability. Please only sign up if you will be able to attend the entire time. If any issues arise, please provide enough notice so that your spot may be filled by another volunteer. Thank you for understanding.</p>
<p><strong>Volunteers Must:</strong></p>
<p>- Please complete the Volunteer UCF Covenant Not to Sue and Agreement to Hold Harmless Form on Knight Connect</p>
<a href=""https://knightconnect.campuslabs.com/engage/submitter/form/start/686837"">https://knightconnect.campuslabs.com/engage/submitter/form/start/686837</a>&nbsp;<br />
<p>If you have any questions, please reach out to&nbsp;<strong>vucf_arts@ucf.edu</strong></p>
<p>Hope to see you there!!&nbsp;</p>
</div>
</div>
</div>
<div>&nbsp;</div>",Orlando Family Stage,2025-10-19 16:00:00+00:00,2025-10-19 19:00:00+00:00,['Community Service']
HOPE @ UCF,[],"<p>Join HOPE for a casual afternoon!&nbsp;</p>
<p>Meeting up at BurgerU in Addition Financial area at 12:00 PM to get lunch.&nbsp;</p>
<p>We'll be carpooling together to Haggerty Farms Pumpkin Patch, which has 100% free admission. Pumpkins, mazes, puzzles, games, and more. HOPE will have a scavenger hunt BINGO list to share. Work in teams of 2-3. First team to win will get $15 gift cards.&nbsp;</p>",Haggerty Farms Pumpkin Patch,2025-10-19 16:00:00+00:00,2025-10-19 19:00:00+00:00,[]
UCF Arboretum,[],"<div class=""copy-paste-block"">Come join us and get your hands dirty in our community garden! Learn how to set up a farm, transplant, prune, propagate, plant, and many other tasks that keep a garden growing! Closed-toed shoes MUST be worn, or you will not be able to participate. Gloves are also required in the case of ants, so please bring your own, or you can borrow a pair from us. Please be sure to bring a reusable water bottle! For the next few months, the weather will be very hot so dress appropriately (&amp; we will take a few water breaks throughout). Thank you!</div>
<div class=""copy-paste-block"">
<p><strong>*All volunteer shift hour requests MUST be submitted by 5pm on Friday of each week. Any late requests will be automatically denied.</strong></p>
<p><strong>*Volunteers may miss NO MORE than 3 volunteer shifts!! If you can no longer attend, change your RSVP beforehand!</strong></p>
<p><strong>**If you experience a waitlist issue and are moved into the RSVP at the last minute, please send us a screenshot of the Knight Connect&nbsp;email that notified&nbsp;you.</strong></p>
<p><strong>***If you show up after the volunteering group has moved to the farm, you cannot earn the full 2 hours of service credit.</strong></p>
<p>If you have any questions about this event, feel free to email @kristen.barger@ucf.edu :)</p>
</div>",Arboretum,2025-10-20 14:00:00+00:00,2025-10-20 16:00:00+00:00,[]
Transfer Center,[],"<p>Join us as we kick off a week full of fun and show off our school pride! Wear your transfer school or UCF colors, connect with fellow students, and enjoy a day of spirit and community. Drop by the Student Union Patio from 11-1pm to receive a special gift.</p>",Student Union South Patio,2025-10-20 15:00:00+00:00,2025-10-20 17:00:00+00:00,[]
Campus Activities Board,[],"<p>CAB Presents: Trunk or Treat 🍬<br /><br />The CAB Marketing Team is hitting the road this Halloween with candy, merch, and a great chance to learn how you can get involved with CAB!<br /><br />🎟️ Make sure to check in with us at the event to enter our raffle for a chance to win a boo basket!<br /><br />⌚️We&rsquo;ll be popping up at different spots around campus every 15 minutes, so keep an eye on our socials to join the fun!<br /><br />📆: Monday, October 20th at 11 a.m.<br />📍: All around campus!</p>",Main Campus,2025-10-20 15:00:00+00:00,2025-10-20 17:00:00+00:00,[]
Rosen Life,[],"<p><span class=""NormalTextRun SCXW81843074 BCX8""> Get ready to satisfy your sweet tooth with Rosen Life! Students will have the chance to create delicious treats using a variety of candy and snacks. Once </span><span class=""NormalTextRun SCXW81843074 BCX8"">you&rsquo;ve</span><span class=""NormalTextRun SCXW81843074 BCX8""> crafted your tasty masterpiece, stick around to eat, share, and enjoy with friends. Sweet fun guaranteed!</span></p>",Rosen College Fountain,2025-10-20 16:30:00+00:00,2025-10-20 18:30:00+00:00,[]
